,date,count, value
460,2012-11-01,1352,13232.62
461,2014-06-05,2603,16836.11
462,2014-09-11,1657,17049.0
463,2008-05-08,1841,12866.78
464,2009-03-05,1143,6594.44
465,2009-06-11,2785,8770.92
466,2012-11-02,1332,13093.16
467,2014-06-06,1546,16924.28
468,2014-09-12,1153,16987.51
469,2014-10-10,1524,16544.1
470,2016-02-08,2513,16027.05
471,2008-05-09,4890,12745.88
472,2009-03-06,1422,6626.94
473,2009-06-12,2195,8799.26
474,2010-03-08,1324,10552.52
475,2016-02-09,1787,16014.38
476,2008-04-01,2414,12654.36
477,2010-03-09,1674,10564.38
478,2008-04-02,1285,12608.92
479,2010-02-01,1196,10185.53
480,2012-11-05,1608,13112.44
481,2014-06-09,3465,16943.1
482,2008-04-03,1449,12626.03
483,2009-03-09,2307,6547.05
484,2010-02-02,1618,10296.85
485,2012-11-06,1343,13245.68
486,2014-05-01,1813,16558.87
487,2008-04-04,2186,12609.42
488,2008-07-10,1427,11229.02
489,2010-02-03,1851,10270.55
490,2011-12-01,1070,12020.03
491,2012-11-07,2840,12932.73
492,2014-05-02,1145,16512.89
493,2016-01-04,1804,17148.94
494,2008-07-11,1655,11100.54
495,2009-02-02,1318,7936.75
496,2010-02-04,1414,10002.18
497,2010-05-10,1556,10785.14
498,2011-12-02,1399,12019.42
499,2012-11-08,2000,12811.32
500,2016-01-05,1253,17158.66
501,2016-04-11,1490,17556.41
502,2009-02-03,2116,8078.36
503,2010-02-05,1349,10012.23
504,2010-05-11,1647,10748.26
505,2012-11-09,1365,12815.39
506,2016-01-06,1842,16906.51
507,2016-04-12,1269,17721.25
508,2008-04-07,1604,12612.43
509,2009-02-04,1471,7956.66
510,2010-05-12,2026,10896.91
511,2012-10-01,1427,13515.11
512,2014-05-05,1351,16530.55
513,2014-08-11,1418,16569.98
514,2016-01-07,1921,16514.1
515,2008-04-08,1530,12576.44
516,2009-02-05,1474,8063.07
517,2009-05-11,1454,8418.77
518,2011-12-05,2858,12097.83
519,2012-09-04,2726,13035.94
520,2012-10-02,3825,13482.36
521,2014-05-06,1366,16401.02
522,2014-08-12,2173,16560.54
523,2016-01-08,2055,16346.45
524,2008-04-09,2254,12527.26
525,2009-02-06,1542,8280.59
526,2009-05-12,1338,8469.11
527,2010-02-08,1394,9908.39
528,2011-12-06,1947,12150.13
529,2012-09-05,2618,13047.48
530,2012-10-03,2236,13494.61
531,2014-05-07,1555,16518.54
532,2010-02-09,1860,10058.64
533,2011-12-07,5193,12196.37
534,2012-09-06,1462,13292.0
535,2012-10-04,2538,13575.36
536,2014-05-08,2615,16550.97
537,2011-12-08,1785,11997.7
538,2012-09-07,1379,13306.64
539,2012-10-05,1544,13610.15
